wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
660.7999878,-0.001253142,-0.003068374,-0.009361153,-0.011125672
660,-0.002317537,-0.003774036,-0.009253673,-0.01118804
659.2000122,-0.002440338,-0.003294097,-0.009598214,-0.011316076
658.4000244,-0.00156705,-0.002746908,-0.008828408,-0.010355538
657.5999756,-0.001235332,-0.003713521,-0.008464064,-0.010037196
656.7999878,-0.001395804,-0.002114697,-0.008012205,-0.00979592
656,-0.001764526,-0.002626303,-0.008278094,-0.009264468
655.2000122,-0.00136773,-0.002782404,-0.008643305,-0.010603728
654.4000244,-0.001481874,-0.003501061,-0.009706369,-0.011799782
653.5999756,-0.002021641,-0.003395819,-0.008620922,-0.011404892
652.7999878,-0.003096699,-0.004501048,-0.008744188,-0.011925522
652,-0.001746169,-0.003063337,-0.008510822,-0.011108313
651.2000122,-0.000998154,-0.002594911,-0.007801228,-0.009902051
650.4000244,-0.001712497,-0.00242927,-0.00885017,-0.011024231
649.5999756,-0.002703846,-0.002873857,-0.009515359,-0.010526319
648.7999878,-0.002696488,-0.003141881,-0.008902924,-0.01056351
648,-0.001893205,-0.003324668,-0.008119586,-0.010952602
647.2000122,-0.001251284,-0.002760952,-0.00684103,-0.010214424
646.4000244,-0.001302955,-0.002550547,-0.008621633,-0.01056836
645.5999756,-0.00240744,-0.002849838,-0.009259197,-0.010727694
644.7999878,-0.00138476,-0.003203761,-0.009855442,-0.010099062
644,-0.001026201,-0.002958606,-0.008521636,-0.009831958
643.2000122,-0.00081485,-0.001902845,-0.008150733,-0.010757544
642.4000244,-0.000759503,-0.002481471,-0.009205169,-0.011446899
641.5999756,-0.00183217,-0.004008627,-0.009888135,-0.010993844
640.7999878,-0.002864136,-0.004187562,-0.009044262,-0.011588722
640,-0.00188171,-0.002655016,-0.008870461,-0.010262613
639.2000122,-0.001202497,-0.001853203,-0.00860463,-0.010247292
638.4000244,-0.001404474,-0.002266707,-0.009265127,-0.011618764
637.5999756,-0.002311254,-0.002792023,-0.009301057,-0.012296136
636.7999878,-0.002318413,-0.00366614,-0.009167204,-0.012643703
636,-0.002882754,-0.00330612,-0.00845401,-0.012512386
635.2000122,-0.002134326,-0.002739911,-0.010135833,-0.012254966
634.4000244,-0.002027773,-0.003162337,-0.009739123,-0.01272888
633.5999756,-0.002077034,-0.003277604,-0.009627989,-0.012731947
632.7999878,-0.001382747,-0.003461977,-0.00864026,-0.012165115
632,-0.001572363,-0.002502318,-0.009585149,-0.012603673
631.2000122,-0.000907545,-0.002389008,-0.009760132,-0.01204604
630.4000244,-0.001249322,-0.002594551,-0.009592239,-0.01239879
629.5999756,-0.002429939,-0.004160334,-0.011220229,-0.013057163
628.7999878,-0.002405999,-0.004075819,-0.01051783,-0.013809285
628,-0.001579121,-0.003900224,-0.010341939,-0.013021391
627.2000122,-0.001595524,-0.003257256,-0.01058756,-0.013274842
626.4000244,-0.001288038,-0.00398744,-0.010040079,-0.012630729
