wavelength (nm),DOMBlank1,DOMSTD21,DOM12282,DOM12486,DOM12602,DOM12622,DOMBlank2,DOM12629,DOM12636,DOM12682,DOM12785,DOM12812,DOM12815,DOM12847,DOM12941,DOM13373,DOMBlank3,DOM13374,DOM12196,DOM12220,DOM12227,DOM12228,DOM12772,DOM12827,DOM12996,DOM13171,DOM13241,DOMBlank4
860,-0.009654826,-0.013544706,-0.017638931,-0.022408497,-0.020616699,-0.021868292,-0.02147137,-0.024059281,-0.02643661,-0.024921974,-0.023380253,-0.030008774,-0.022718836,-0.027998993,-0.027472699,-0.028427433,-0.026388235,-0.027171383,-0.02535766,-0.025925247,-0.027285215,-0.024762385,-0.025301496,-0.02597509,-0.024070891,-0.02699491,-0.027289785,-0.025150595
859.2000122,-0.009849722,-0.010848545,-0.017364886,-0.019739961,-0.02465014,-0.022492861,-0.021717673,-0.025875302,-0.023096014,-0.026053449,-0.023369413,-0.024993926,-0.025622562,-0.026337564,-0.02635028,-0.025999909,-0.020969415,-0.025188802,-0.021736337,-0.026216609,-0.028145993,-0.024323948,-0.026765164,-0.026032921,-0.02115077,-0.021304443,-0.024505815,-0.027399408
858.4000244,-0.010773907,-0.012553078,-0.023916574,-0.021951826,-0.020127447,-0.022748902,-0.026651535,-0.021828709,-0.025760368,-0.030742403,-0.030720262,-0.026478454,-0.026771199,-0.027382735,-0.026283864,-0.022514589,-0.025254603,-0.02779809,-0.030339994,-0.026548008,-0.028937073,-0.028984051,-0.026183905,-0.02747513,-0.028224302,-0.025597181,-0.025209712,-0.03038156
857.5999756,-0.009701559,-0.014607367,-0.024313277,-0.026326453,-0.023191141,-0.025928222,-0.02834077,-0.028051654,-0.022954365,-0.029078964,-0.025536751,-0.030579342,-0.026355835,-0.029819045,-0.031999148,-0.029886663,-0.030754557,-0.028739171,-0.025825057,-0.028970636,-0.029042067,-0.029821221,-0.027939139,-0.029686971,-0.030918036,-0.027778665,-0.02819597,-0.032872964
856.7999878,-0.008657109,-0.013832856,-0.019918516,-0.019414218,-0.023710096,-0.025485687,-0.022174736,-0.025233062,-0.023269465,-0.027711738,-0.02484644,-0.022857713,-0.025942121,-0.024804782,-0.024935318,-0.025108721,-0.027711058,-0.026157923,-0.024757348,-0.028773574,-0.02359743,-0.027884278,-0.026109906,-0.02569996,-0.022415381,-0.027774731,-0.025470065,-0.025671314
856,-0.005368258,-0.006394315,-0.018524431,-0.017745698,-0.019894779,-0.022300165,-0.022670731,-0.024886237,-0.023033075,-0.023813274,-0.020758471,-0.020752056,-0.024474155,-0.026416296,-0.023607433,-0.024532434,-0.026208421,-0.024246352,-0.021856526,-0.021961523,-0.02571982,-0.024850205,-0.021014255,-0.02184983,-0.022876376,-0.019827813,-0.022653483,-0.02424312
855.2000122,-0.003687547,-0.007655975,-0.015085773,-0.016742606,-0.018901998,-0.017087134,-0.016762033,-0.017549988,-0.017625807,-0.021199832,-0.02257549,-0.020772981,-0.0219028,-0.021330422,-0.018636733,-0.021735499,-0.020340178,-0.022722373,-0.022569198,-0.025163349,-0.024032585,-0.021083061,-0.017798923,-0.019282704,-0.021001825,-0.018966926,-0.020373328,-0.024961764
854.4000244,-0.006788891,-0.011223306,-0.019216981,-0.019881723,-0.022889687,-0.026617693,-0.022541329,-0.02363999,-0.026912242,-0.0278752,-0.027951034,-0.024303827,-0.023751566,-0.02870113,-0.024391446,-0.027097942,-0.02824332,-0.026510309,-0.025700936,-0.030529639,-0.026498133,-0.025137551,-0.026590034,-0.024605038,-0.028690325,-0.028759426,-0.026626702,-0.023589928
853.5999756,-0.006247213,-0.010534707,-0.017886821,-0.018455269,-0.021557247,-0.024749083,-0.024161249,-0.022811195,-0.023870954,-0.022164356,-0.023222797,-0.022987019,-0.021750864,-0.021576459,-0.025243124,-0.021240111,-0.025516249,-0.023377262,-0.024689807,-0.024823362,-0.023306612,-0.022015857,-0.021172712,-0.021795278,-0.025734311,-0.025112631,-0.02367181,-0.025231352
852.7999878,-0.009924772,-0.014056313,-0.02222383,-0.018822832,-0.019961735,-0.021975353,-0.022030277,-0.02098229,-0.023129247,-0.02528484,-0.022901671,-0.022242669,-0.023338307,-0.024852747,-0.025903348,-0.024533998,-0.023195608,-0.023065627,-0.028353574,-0.02300288,-0.027081745,-0.022973713,-0.019877469,-0.026608441,-0.025261052,-0.022139167,-0.02641006,-0.026549613
852,-0.004968549,-0.004880198,-0.017166018,-0.019731699,-0.014697215,-0.016158044,-0.022623358,-0.021790748,-0.018927079,-0.023071518,-0.020204498,-0.021008236,-0.02339296,-0.018752281,-0.023645971,-0.020599222,-0.021885917,-0.020209242,-0.020215122,-0.022045285,-0.023023108,-0.020723822,-0.019213019,-0.021661036,-0.022162979,-0.020094082,-0.021268409,-0.022174098
851.2000122,-0.006607506,-0.007592132,-0.013819616,-0.019973848,-0.014860745,-0.019461248,-0.021654533,-0.017504938,-0.020392099,-0.020281583,-0.024340836,-0.021549463,-0.020667795,-0.02153483,-0.020294627,-0.020581249,-0.024553422,-0.021421747,-0.023075052,-0.021261113,-0.02096981,-0.022055767,-0.021388482,-0.018704081,-0.024157185,-0.021782231,-0.023129689,-0.023453001
850.4000244,-0.004682342,-0.005701638,-0.013888267,-0.0184513,-0.017707378,-0.020274121,-0.021763764,-0.020442728,-0.018289365,-0.020581594,-0.020462681,-0.021281917,-0.019778596,-0.021896401,-0.022749051,-0.022827063,-0.01854869,-0.022551503,-0.020409387,-0.020805653,-0.022358391,-0.022637513,-0.02197998,-0.021578036,-0.022524273,-0.019980177,-0.023147704,-0.023084134
849.5999756,-0.00908244,-0.010554566,-0.020752056,-0.023989428,-0.021424359,-0.022782261,-0.020743072,-0.026405822,-0.025283813,-0.024797251,-0.026950099,-0.027132962,-0.022879029,-0.02439365,-0.027017336,-0.027842715,-0.031432081,-0.026115024,-0.025740752,-0.026549175,-0.029471898,-0.027691336,-0.021584686,-0.026300043,-0.026908591,-0.02661146,-0.02785874,-0.027920401
848.7999878,-0.004332288,-0.008030401,-0.017306285,-0.01677857,-0.017774174,-0.01846822,-0.020125864,-0.021402676,-0.021328006,-0.024094597,-0.020787442,-0.021026734,-0.018893521,-0.020199308,-0.025884375,-0.022556469,-0.020950817,-0.020788576,-0.019702213,-0.02171324,-0.022391386,-0.02089625,-0.02026592,-0.01964462,-0.024179418,-0.022669699,-0.022001339,-0.024271615
