wavelength (nm),DOMBlank1,DOMSTD28,DOM12273,DOM12702,DOM12704,DOM12710,DOM12841,DOM13050,DOMBlank2,DOM13070,DOM13089,DOM13094,DOM13131,DOM13144,DOM13437,DOM13494,DOMBlank3
824.7999878,-0.002740528,-0.004375855,-0.010048932,-0.013948685,-0.017451629,-0.019996988,-0.024031997,-0.028000934,-0.025621682,-0.02724763,-0.034591194,-0.030256996,-0.03014872,-0.032670558,-0.030685773,-0.031156389,-0.030667441
824,-0.002651775,-0.007459329,-0.010260186,-0.01598043,-0.018774642,-0.019951498,-0.026480159,-0.027231682,-0.027657334,-0.027084613,-0.030803317,-0.030397056,-0.031258248,-0.033570915,-0.029792363,-0.033398461,-0.033937164
823.2000122,-0.003418113,-0.008643914,-0.01107778,-0.013797099,-0.016841924,-0.018658258,-0.024417045,-0.026995687,-0.028090674,-0.028633766,-0.028285379,-0.029861242,-0.031262003,-0.029630588,-0.032077007,-0.031620625,-0.033508085
822.4000244,-0.003801956,-0.008238015,-0.01345497,-0.014280004,-0.017344739,-0.02118361,-0.025673414,-0.026509238,-0.028241914,-0.027308747,-0.02961966,-0.029677445,-0.029901307,-0.032112829,-0.029887678,-0.03255688,-0.033110201
821.5999756,-0.004502021,-0.007221911,-0.010488621,-0.014349383,-0.016270511,-0.021533007,-0.02351024,-0.028290568,-0.029493134,-0.028082909,-0.030310206,-0.02980029,-0.031971302,-0.028939446,-0.030397441,-0.030881293,-0.030764783
820.7999878,-0.000623301,-0.005801214,-0.01108202,-0.014182955,-0.017587677,-0.017378166,-0.028081793,-0.028614281,-0.02722998,-0.026770031,-0.030770233,-0.030642401,-0.03120443,-0.034137446,-0.029563947,-0.031185156,-0.03273461
820,-0.00148079,-0.007680594,-0.009405384,-0.01369357,-0.016260039,-0.019850269,-0.025474019,-0.026200671,-0.027565172,-0.029481236,-0.028737234,-0.030536588,-0.030438423,-0.030615866,-0.029534878,-0.027156403,-0.032539684
819.2000122,-0.007875005,-0.010761887,-0.012218072,-0.021208804,-0.019744959,-0.023043927,-0.030941032,-0.03036925,-0.030589763,-0.032886691,-0.031036915,-0.03123199,-0.033769164,-0.035539918,-0.030959787,-0.034694064,-0.034563895
818.4000244,-0.000309745,-0.010231819,-0.012718724,-0.011976696,-0.013640442,-0.017962679,-0.025876815,-0.02390261,-0.024661047,-0.026192239,-0.030305909,-0.027101396,-0.030101577,-0.029611245,-0.0309621,-0.030659528,-0.030954001
817.5999756,-0.002798299,-0.005431917,-0.010552848,-0.017384633,-0.014557155,-0.018348677,-0.025015822,-0.025411718,-0.027149351,-0.026374886,-0.028937558,-0.030504545,-0.028786415,-0.030328069,-0.029132754,-0.028382868,-0.031060196
816.7999878,-0.003937421,-0.007938654,-0.011071119,-0.012507456,-0.012160484,-0.019034965,-0.026361633,-0.025398582,-0.027697409,-0.023987565,-0.028488576,-0.029548228,-0.028891105,-0.027186021,-0.029456418,-0.030452082,-0.031016236
816,-0.005562582,-0.009140084,-0.015501011,-0.013201323,-0.017924776,-0.020749193,-0.028120372,-0.028829243,-0.030988567,-0.029804014,-0.03042124,-0.031288549,-0.031442627,-0.030679887,-0.031488661,-0.032562643,-0.033920214
815.2000122,-0.005236052,-0.006687961,-0.012104752,-0.015780279,-0.015782326,-0.02061655,-0.024801506,-0.027665107,-0.027524648,-0.028072329,-0.031873602,-0.030855738,-0.034605153,-0.032686114,-0.032953687,-0.03232035,-0.033784781
814.4000244,-0.005524808,-0.009825884,-0.01203048,-0.015628532,-0.019036651,-0.021856772,-0.025120499,-0.029925469,-0.030152343,-0.02841536,-0.0297505,-0.032293148,-0.0308527,-0.031476334,-0.030685386,-0.033528309,-0.033521026
