wavelength (nm),DOMBlank1,DOMSTD9,DOM12030,DOM12040,DOM12051,DOM12054,DOM12087,DOM12118,DOM12292,DOMBlank2,DOM12578,DOM12612,DOM12631,DOM12687,DOM12691,DOM12692,DOM11828,DOM12017,DOM12080,DOMBlank3,DOM12173,DOM12249,DOM12538,DOM12544,DOM12561,DOM12572,DOM12575,DOM12587,DOM12646,DOM12650,DOM12664,DOMBlank4
824,-0.001135168,0.000166142,0.001649268,-0.000374822,-0.000508465,-0.00146722,0.002597045,0.000441166,-0.000417857,0.000606621,0.001612112,-0.000634416,0.004122247,0.001161969,0.000627178,0.000361389,0.000719319,0.00441927,0.004199529,-0.000512602,0.003569393,0.0025433,0.003401683,0.002132276,0.000629511,0.002849458,0.002656892,0.003379377,0.00643606,0.002161854,0.004536571,0.003560127
823.2000122,-0.00069686,0.00026505,0.003126421,-0.000150268,-0.000478316,-0.000637362,0.002004595,0.000180696,9.30E-05,0.001104197,0.001413238,0.001281873,0.002091801,0.003065024,0.002043787,0.002441945,0.002248077,0.004641425,0.005312791,0.002925132,0.003266378,0.003199928,0.004252905,0.004451515,0.004707913,0.002820901,0.003144855,0.004820398,0.005850265,0.005372463,0.005685711,0.003122041
822.4000244,-0.001517731,0.000695569,0.001070486,-0.000734488,-0.000196844,8.21E-05,0.002167708,0.000215787,-0.001463093,-0.001065143,0.000913414,0.001374621,0.00182956,0.002327186,0.001391397,0.001045783,0.000303593,0.003945129,0.003436096,0.000679728,0.001949466,0.002984243,0.002081527,0.001152651,0.001036182,0.002564131,0.004788937,0.003386969,0.005135999,0.002099292,0.005848323,0.00383838
821.5999756,-0.000835881,0.002003867,0.003607474,0.001998172,0.000795738,0.000888979,0.003684455,0.001752335,0.002320029,0.002169893,0.00373299,0.003454335,0.003401265,0.00456307,0.001886883,0.003172573,0.000880782,0.004594489,0.003511038,0.001443987,0.005053155,0.005130367,0.003118547,0.003358142,0.004253035,0.004528672,0.005931948,0.004474268,0.006979793,0.00601391,0.00506528,0.005668113
820.7999878,-0.002117221,0.002650772,0.002420392,0.000187869,0.000918836,-0.000497812,0.003095839,0.00036012,0.001762835,0.001226525,0.00309696,0.004420996,0.002840208,0.005526935,0.001465493,0.00276025,0.002265823,0.005238298,0.003891816,0.001706204,0.00459271,0.003730039,0.004652204,0.00331677,0.003302163,0.004623032,0.004566471,0.004866468,0.005377469,0.00351336,0.006973927,0.003819133
820,0.000631222,0.003810359,0.004095801,0.000474775,-0.000343319,-0.000360907,0.002893548,0.001078687,0.002465843,0.000813892,0.004711707,0.003036557,0.003508089,0.004171432,0.002382389,0.001891433,0.003277515,0.004132047,0.005775102,0.00390229,0.005167537,0.005558266,0.005805559,0.003267969,0.004263413,0.004196,0.004503876,0.005572163,0.007161786,0.005924023,0.004946448,0.005843994
819.2000122,-0.000919893,0.000209287,0.00180016,-0.000622319,-0.001397765,-0.000610273,0.001684998,0.001748878,0.001416951,-0.001271726,0.00139241,0.003975849,0.002749569,0.000620127,0.00059716,0.001104845,0.001280212,0.004833067,0.003669549,0.001899727,0.001678034,0.004302497,0.002738524,0.001895931,0.001209989,0.004083964,0.0034887,0.003060071,0.005870415,0.00424352,0.004391525,0.003440428
818.4000244,-0.003129185,-0.000160877,0.003409588,-0.001365459,-0.001330673,-0.002150863,0.000720201,0.000452023,-0.001263466,-0.000553452,0.002075076,0.002425468,0.002438379,0.003116436,-0.001053884,0.000177174,0.000704281,0.001051362,0.003986299,0.001295867,0.003224649,0.002779711,0.002584494,0.002145439,0.00178025,0.002526453,0.002472951,0.004361193,0.005637141,0.003346299,0.005976562,0.003270316
817.5999756,-0.002646217,-0.00074343,0.001405602,-0.001340789,-0.000668017,-0.000134638,0.002450406,0.000326467,0.00084307,-0.000410099,0.003617862,0.000216849,0.00344348,0.001097761,0.002576031,0.002139508,0.001847887,0.002991124,0.004018277,0.001582779,0.003053136,0.002691142,0.00360442,0.002829291,0.003202692,0.001130772,0.003209211,0.00380874,0.005939086,0.004833145,0.006402276,0.002332521
816.7999878,-0.002507466,0.000790189,0.003640155,0.000287067,0.000322633,-0.000898349,0.002368255,0.000220164,0.000928123,0.002057234,0.002401311,0.001992008,0.00219159,0.003094275,0.000689113,0.001647579,0.003067735,0.003797746,0.00351584,0.002536712,0.005587581,0.0054047,0.003650439,0.003786074,0.001885167,0.002810401,0.004010282,0.003609275,0.006607627,0.004395264,0.006143458,0.003720875
816,-0.002449605,-0.001884958,-0.001904494,-0.001102429,-0.001066124,-0.003118288,-0.001817322,-0.002778648,-0.00254818,-0.000631055,0.001121377,-0.000555934,-0.000190272,0.000928123,-0.000602156,-0.000978267,-0.00062997,-0.000348492,0.00305749,0.000438963,0.001620556,0.001126438,0.000550762,0.001894917,0.000652195,-0.001151433,0.000424582,0.001592522,0.003564616,0.001971387,0.00373487,0.003076729
815.2000122,-0.001505968,0.000761222,0.001136715,-0.001885422,0.000532075,-0.00284526,0.001596419,0.001525652,4.68E-05,-0.001449522,0.002999934,-0.000475007,0.002072345,0.003640024,0.00215483,0.000956011,0.001026426,0.003001837,0.002261322,0.000707314,0.003534943,0.002750612,0.001694743,0.002081085,0.002012241,0.004712335,0.003800383,0.001739418,0.004782577,0.003509446,0.005374271,0.004211186
814.4000244,-0.000938336,0.000511575,0.00177921,-9.35E-05,-0.001288244,-0.000461509,0.001341435,0.001756597,0.00051694,-0.000781829,0.003521998,0.000858346,0.001502455,0.001248876,0.003420781,0.002672259,0.001419367,0.002780727,0.003177788,0.001008315,0.00369448,0.005125678,0.00206436,0.003023028,0.003275533,0.002092998,0.002410318,0.004289059,0.00462345,0.004193047,0.00759322,0.004731805
813.5999756,-0.001776797,-0.000731284,0.00199955,0.000452178,2.51E-05,-0.000892872,0.00115099,0.001394903,-0.000249986,0.000716312,0.001692041,0.001974195,0.002223436,0.002786641,0.000838271,0.00091287,0.00108206,0.001972765,0.002470061,0.00041927,0.003994293,0.003184672,0.002756343,0.001850954,0.002220288,0.001520846,0.002975642,0.004592318,0.005082933,0.004010152,0.00597155,0.003741528
