wavelength (nm),DOMBlank1,DOMSTD8,DOM12503,DOM12508,DOM12809,DOM12810,DOM12816,DOM12438,DOM12539,DOMBlank2,DOM12540,DOM13194,DOM13234,DOM11565,DOM11773,DOM11783,DOM11846,DOM11985,DOM12192,DOMBlank3,DOM12234,DOM12543,DOM12761,DOM12813,DOM12818,DOM12820,DOM12821,DOM12849,DOMBlank4
859.2000122,-0.000642584,0.001238726,-0.001544403,0.000805386,-0.000979868,0.00132165,0.003077225,0.001020951,-0.000214749,-0.000639689,-0.002329947,-0.001382077,0.003449534,-0.000460267,-0.000275909,0.002170595,0.000825485,-0.000556968,0.001386982,0.002116668,0.002192319,-0.000717174,0.00018054,0.003053084,0.001665015,-0.000119577,0.000368384,-0.000376374,0.002986458
858.4000244,0.002748814,0.006445256,0.004499508,0.002541789,0.002768925,0.005736805,0.004987609,0.002868454,0.000409191,0.006373168,0.002847035,0.004003176,0.002015257,0.004106463,0.002915229,0.001636536,0.003891712,0.002631499,0.003745183,0.004472019,-1.73E-05,0.00564152,0.004919926,0.002457279,0.004395708,0.004390871,0.003022272,0.005606014,0.005870232
857.5999756,-0.003156735,0.00247998,0.00222903,-0.000207452,0.001473389,0.003301407,0.001684634,0.003370925,-0.001680729,-0.000436529,0.002621889,0.001652672,0.001206563,7.64E-05,-0.00039753,0.002796567,0.000769443,-0.001051457,0.002189665,0.001083851,0.001031719,0.002886408,0.001567243,0.001781003,0.00134746,0.001380204,0.000855,0.001260299,0.001361663
856.7999878,0.002972905,0.005049829,0.006318717,0.003592726,0.00155615,0.003397561,0.006174046,0.005413297,0.002306366,0.001977472,0.003057047,0.003302111,0.004653251,-0.000204813,0.005142678,0.001957761,0.002903216,0.002277221,0.00714997,0.003238028,0.00570512,0.002485291,0.003533403,0.004912412,0.004180318,0.00489817,0.002442492,0.004790272,0.004559957
856,0.00088789,0.004078215,0.002686063,0.002114717,0.000933545,0.001619595,0.001946684,0.000815059,-0.000674892,0.000903401,0.000736303,0.00146887,0.004304588,0.0004393,0.003497651,0.001581454,0.002207097,0.001735285,0.001667614,0.001276525,0.001143697,0.003583487,0.001891537,0.002884375,0.004629913,0.002120076,0.002455743,0.002226663,0.000135431
855.2000122,-0.002280458,0.001242646,0.001996897,-0.001748747,-0.000977337,-0.000660832,0.001166823,-0.000761105,-0.000351648,-0.000318746,0.000551618,0.002962636,0.002603139,0.000426059,0.001099084,-0.002126649,-0.001849079,0.000451816,0.000447644,0.001926039,0.002061499,0.000668787,-2.72E-05,-0.00140917,0.001426275,0.002983435,0.002031096,0.001162696,-0.000893234
854.4000244,0.00084849,0.001100356,0.000587491,0.002975668,-0.000597761,0.002122781,0.003022898,0.000661424,-0.001656026,0.002178348,-0.00028279,0.001914365,-0.000200311,0.00415298,-0.001948357,-0.000773198,-0.001511437,-0.00390556,-0.000698773,0.001089664,-0.000780795,0.002813893,-0.003673481,-0.002349361,-0.000796298,0.00246626,-0.002569899,-0.000141159,0.001985793
853.5999756,0.003103739,0.003562503,0.005673726,0.00345817,0.003527166,0.007060585,0.002588061,0.001826102,0.004481984,0.002694008,0.00392013,0.004155123,0.004569139,0.006248621,0.003790434,0.003602332,0.007090027,0.0038488,0.001338449,0.005228368,0.005892587,0.004880185,0.004519491,0.004955298,0.003395265,0.006757675,0.001399266,0.004798673,0.004955089
852.7999878,-0.000892924,0.001123609,-0.000557123,0.001757897,0.000795168,0.002652491,0.002245865,0.001385216,0.000643069,0.000603562,0.003174372,0.002256273,0.003068465,0.001258638,0.001386956,0.002270481,0.00046796,-0.000791131,0.001349485,0.000510383,0.003605464,0.00440962,0.002210531,0.000569243,0.001610631,0.002524787,0.000600996,0.001816718,0.001778196
852,0.002235041,0.006828012,0.00530527,0.001774999,0.005345417,0.001108531,0.005223416,0.00445379,0.004386739,0.003126004,0.002403107,0.002832131,0.000699406,0.003442385,0.00461602,0.004377065,0.00245025,0.000661165,0.002103584,0.004513684,0.003056578,0.005720831,0.001587689,0.002783228,0.004321477,0.003064242,0.004472804,0.003374003,0.002931127
