,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
738.4000244,-0.003693964,738.4000244,-0.006852802,738.4000244,-0.009446369
737.5999756,-0.00243622,737.5999756,-0.005705573,737.5999756,-0.007861125
736.7999878,-0.003505683,736.7999878,-0.006708914,736.7999878,-0.007588876
736,-0.003317064,736,-0.008091079,736,-0.008749363
735.2000122,-0.004801712,735.2000122,-0.005931513,735.2000122,-0.008827241
734.4000244,-0.004087821,734.4000244,-0.007625963,734.4000244,-0.009437705
733.5999756,-0.003111041,733.5999756,-0.005911748,733.5999756,-0.00801561
732.7999878,-0.004465589,732.7999878,-0.007146648,732.7999878,-0.008596662
732,-0.004038736,732,-0.006495466,732,-0.009303135
731.2000122,-0.002498663,731.2000122,-0.005155429,731.2000122,-0.007377235
730.4000244,-0.003981952,730.4000244,-0.006960623,730.4000244,-0.009377114
729.5999756,-0.003500034,729.5999756,-0.007114919,729.5999756,-0.007582516
728.7999878,-0.005123708,728.7999878,-0.007219417,728.7999878,-0.007703432
728,-0.003731179,728,-0.006081223,728,-0.008739012
727.2000122,-0.003383285,727.2000122,-0.005508706,727.2000122,-0.007625911
726.4000244,-0.003760949,726.4000244,-0.005740726,726.4000244,-0.008006665
725.5999756,-0.003706694,725.5999756,-0.00551484,725.5999756,-0.007715893
724.7999878,-0.004612784,724.7999878,-0.005856945,724.7999878,-0.00762876
724,-0.004248063,724,-0.006448694,724,-0.009070627
723.2000122,-0.004136797,723.2000122,-0.006801786,723.2000122,-0.008025724
722.4000244,-0.00525554,722.4000244,-0.005891421,722.4000244,-0.008432837
721.5999756,-0.003822792,721.5999756,-0.006744036,721.5999756,-0.007742695
720.7999878,-0.004574722,720.7999878,-0.00640212,720.7999878,-0.007441517
720,-0.00349269,720,-0.006790675,720,-0.006891378
719.2000122,-0.004653967,719.2000122,-0.006925364,719.2000122,-0.007431491
718.4000244,-0.00363164,718.4000244,-0.006689491,718.4000244,-0.008070599
717.5999756,-0.002019373,717.5999756,-0.005945659,717.5999756,-0.007109368
716.7999878,-0.004112899,716.7999878,-0.006860395,716.7999878,-0.006588283
716,-0.003544095,716,-0.007729625,716,-0.008050068
715.2000122,-0.002123867,715.2000122,-0.005319983,715.2000122,-0.0068421
714.4000244,-0.003378148,714.4000244,-0.006246396,714.4000244,-0.006670271
713.5999756,-0.004012371,713.5999756,-0.006210519,713.5999756,-0.007502227
712.7999878,-0.002744953,712.7999878,-0.005585531,712.7999878,-0.006974022
712,-0.002430608,712,-0.004799356,712,-0.006255582
711.2000122,-0.004160283,711.2000122,-0.005775978,711.2000122,-0.00701814
710.4000244,-0.003051924,710.4000244,-0.005362377,710.4000244,-0.006910129
709.5999756,-0.003470246,709.5999756,-0.006508013,709.5999756,-0.007261982
708.7999878,-0.004142438,708.7999878,-0.006996184,708.7999878,-0.006438798
708,-0.002353377,708,-0.004645925,708,-0.005447256
707.2000122,-0.004419828,707.2000122,-0.007001023,707.2000122,-0.006974685
706.4000244,-0.002515084,706.4000244,-0.005556704,706.4000244,-0.006787923
705.5999756,-0.00409536,705.5999756,-0.006205823,705.5999756,-0.006104451
704.7999878,-0.002430145,704.7999878,-0.004626512,704.7999878,-0.005542239
704,-0.003040871,704,-0.005760447,704,-0.005431304
703.2000122,-0.00377845,703.2000122,-0.004984671,703.2000122,-0.006164175
702.4000244,-0.002989714,702.4000244,-0.003796105,702.4000244,-0.005732296
701.5999756,-0.00312384,701.5999756,-0.005211038,701.5999756,-0.006480114
700.7999878,-0.003257718,700.7999878,-0.004609966,700.7999878,-0.004792341
700,-0.002645548,700,-0.005142485,700,-0.005745426
