wavelength (nm),DOMBlank1,DOMSTD19,DOM11943,DOM12001,DOM12473,DOM12598,DOM12603,DOM12614,DOM12693,DOMBlank2,DOM12695,DOM12763,DOM12851,DOM12903,DOM12909,DOM13428,DOM13430,DOMBlank3
829.5999756,-0.006286965,-0.009853012,-0.013544404,-0.016302574,-0.018977432,-0.017244391,-0.021288227,-0.023326678,-0.023330702,-0.024186762,-0.024192834,-0.024317143,-0.024661927,-0.027269414,-0.026243951,-0.026267881,-0.027406991,-0.026491899
828.7999878,-0.004630098,-0.009029354,-0.012604075,-0.013458684,-0.017590908,-0.017896906,-0.019490059,-0.023152858,-0.02187735,-0.023542264,-0.023480076,-0.024768841,-0.024264907,-0.023227606,-0.025313314,-0.024659336,-0.026199015,-0.026609367
828,-0.004442889,-0.00858991,-0.014457664,-0.015314633,-0.016757252,-0.017879864,-0.019160612,-0.023753528,-0.022133263,-0.02329459,-0.023569481,-0.021194357,-0.023274373,-0.025957435,-0.024934342,-0.025029605,-0.026090894,-0.026904408
827.2000122,-0.006928626,-0.009012976,-0.012769904,-0.01523726,-0.017785355,-0.019363567,-0.0200004,-0.025015138,-0.022787666,-0.023011226,-0.02276212,-0.023912899,-0.023319907,-0.026160214,-0.026072269,-0.024948811,-0.027598843,-0.025878131
826.4000244,-0.003376812,-0.005598717,-0.010421604,-0.013277905,-0.012911948,-0.015179921,-0.015735045,-0.021439685,-0.018508505,-0.019760342,-0.021490783,-0.022623407,-0.021550596,-0.024833532,-0.020045538,-0.022662574,-0.023930782,-0.023205228
825.5999756,-0.005906488,-0.008634677,-0.012414438,-0.017494347,-0.017112518,-0.01800495,-0.020243436,-0.024109241,-0.024689075,-0.022654416,-0.024352485,-0.024904521,-0.025650673,-0.027028624,-0.02400334,-0.025142632,-0.027432604,-0.026676122
824.7999878,-0.007563539,-0.00820728,-0.013639389,-0.015331675,-0.018425001,-0.02154424,-0.019649567,-0.024403634,-0.022414692,-0.025410935,-0.024551466,-0.023961846,-0.024850156,-0.02729878,-0.025698788,-0.024191268,-0.026839731,-0.028435241
824,-0.006317836,-0.008546459,-0.01131194,-0.015002208,-0.017093653,-0.019969992,-0.021054059,-0.021678323,-0.020821888,-0.022622917,-0.024136078,-0.021376999,-0.024059379,-0.026456242,-0.024567954,-0.02471886,-0.026519369,-0.027118953
823.2000122,-0.00561962,-0.006634173,-0.012938684,-0.01541133,-0.01627101,-0.017777853,-0.020081379,-0.021354524,-0.020706743,-0.022608124,-0.023662591,-0.022696331,-0.024061192,-0.025525182,-0.023017118,-0.02511136,-0.02581813,-0.026254039
822.4000244,-0.007909932,-0.009880088,-0.014006186,-0.015422023,-0.017147705,-0.018204676,-0.021436678,-0.023536526,-0.022078894,-0.022708615,-0.02591598,-0.024867073,-0.023389429,-0.028364874,-0.02639408,-0.025089322,-0.026769105,-0.025506437
821.5999756,-0.008092959,-0.009512927,-0.012898179,-0.015939061,-0.019217674,-0.018886235,-0.020025071,-0.02299468,-0.023080502,-0.025628807,-0.024184754,-0.024363548,-0.02670363,-0.027993314,-0.025500627,-0.025401365,-0.027626438,-0.029042261
820.7999878,-0.004715682,-0.009518905,-0.0125653,-0.013264096,-0.016791821,-0.016348798,-0.018763535,-0.022317033,-0.021569563,-0.024258152,-0.021540793,-0.024934147,-0.021279205,-0.025852375,-0.023118351,-0.02303558,-0.025064155,-0.025544904
820,-0.006663184,-0.011528378,-0.010918121,-0.012709674,-0.017577484,-0.017462719,-0.019852741,-0.024506206,-0.021977862,-0.025181327,-0.02364254,-0.023334676,-0.025149764,-0.028578265,-0.025862668,-0.023871934,-0.026667262,-0.02637513
819.2000122,-0.005834163,-0.009151185,-0.013336249,-0.016579833,-0.017580815,-0.017752606,-0.019752378,-0.023325257,-0.021025205,-0.023083299,-0.024156891,-0.023823811,-0.023084674,-0.024996957,-0.024289092,-0.025843401,-0.02597109,-0.027290029
