wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
854.4000244,-0.007679017,-0.007215241,-0.009034678,-0.018258985,-0.013463804,-0.017248273,-0.016043002,-0.021032505,-0.019022182,-0.020330051,-0.019245708,-0.021209396,-0.026321728,-0.024133287,-0.024178389,-0.024124324,-0.02301923,-0.023063907,-0.025762025
853.5999756,-0.010568461,-0.012046644,-0.011749445,-0.016414756,-0.018588671,-0.018141817,-0.017289966,-0.017172189,-0.020349812,-0.024578765,-0.02447577,-0.025595814,-0.022567872,-0.022933053,-0.022993894,-0.025223536,-0.025861839,-0.026541092,-0.024200816
852.7999878,-0.007437496,-0.011882002,-0.009714621,-0.016574949,-0.013522123,-0.017604232,-0.019180277,-0.022625569,-0.023675093,-0.020869952,-0.023094984,-0.028305702,-0.025204534,-0.023843855,-0.023533192,-0.027789835,-0.026312176,-0.025774224,-0.027522169
852,-0.011555299,-0.010537588,-0.011307097,-0.016865281,-0.017441433,-0.021277037,-0.019932857,-0.023020703,-0.021687975,-0.025208147,-0.024995979,-0.024708394,-0.025546759,-0.022750378,-0.024795197,-0.025664726,-0.029008944,-0.027987683,-0.025388425
851.2000122,-0.003736209,-0.006551974,-0.007289526,-0.011942094,-0.013329772,-0.015077773,-0.01541203,-0.017492358,-0.018799234,-0.015046318,-0.018037632,-0.017332999,-0.023411013,-0.017509364,-0.017840216,-0.021095537,-0.021440966,-0.020919438,-0.020657726
850.4000244,-0.003558063,-0.008160641,-0.00567982,-0.011901193,-0.013736159,-0.016025839,-0.016654974,-0.017698631,-0.019948088,-0.020108366,-0.020481203,-0.022339556,-0.020165356,-0.019598598,-0.020183247,-0.026866401,-0.01915645,-0.020733299,-0.024625044
849.5999756,-0.005373474,-0.007048042,-0.00739851,-0.01264657,-0.014962794,-0.016708631,-0.01936961,-0.016136445,-0.021266831,-0.022306608,-0.020443469,-0.021836832,-0.02433506,-0.022880355,-0.026134331,-0.023364604,-0.02320189,-0.023659308,-0.022612842
848.7999878,-0.006414414,-0.009050549,-0.011222045,-0.01545415,-0.01350807,-0.017168706,-0.019207124,-0.019619135,-0.020893438,-0.024381217,-0.023365684,-0.020499574,-0.025376022,-0.024386993,-0.023819253,-0.025930466,-0.025261492,-0.024056783,-0.026553217
848,-0.009390286,-0.010444147,-0.011450579,-0.0148692,-0.01731907,-0.019491989,-0.021680735,-0.020294331,-0.019338265,-0.022788303,-0.021280684,-0.022086963,-0.023731861,-0.02203008,-0.027407864,-0.028013797,-0.024614625,-0.027223708,-0.018488165
847.2000122,-0.00863889,-0.007517798,-0.012558459,-0.0191884,-0.013211317,-0.020718984,-0.019173738,-0.020636249,-0.022149548,-0.022464003,-0.021758545,-0.02553807,-0.02444822,-0.025660774,-0.026789695,-0.025980014,-0.024560761,-0.02521704,-0.026627481
846.4000244,-0.010850867,-0.013009634,-0.00871217,-0.016764425,-0.019008702,-0.019869953,-0.024338534,-0.02380852,-0.020630572,-0.022517981,-0.023929166,-0.026719306,-0.026097622,-0.026963819,-0.025732799,-0.026619008,-0.02972739,-0.027824458,-0.026557017
845.5999756,-0.002613489,-0.00628125,-0.006500566,-0.012441706,-0.011991351,-0.013593079,-0.017949516,-0.019286666,-0.018149067,-0.020577496,-0.01874752,-0.021651924,-0.020670263,-0.019237636,-0.019854473,-0.021695068,-0.023274226,-0.021057956,-0.022118159
844.7999878,-0.008322943,-0.012347817,-0.010497161,-0.014327293,-0.01764947,-0.018810537,-0.019215396,-0.021799069,-0.022361292,-0.024409164,-0.023689115,-0.023789847,-0.022839341,-0.02496152,-0.023995943,-0.026184391,-0.027584802,-0.026607711,-0.026622612
844,-0.003591644,-0.007835347,-0.008666396,-0.013084943,-0.012794989,-0.016199991,-0.014692861,-0.017158005,-0.018186951,-0.021940406,-0.018671054,-0.019559551,-0.020597296,-0.021063825,-0.021054355,-0.021239914,-0.025726261,-0.022372406,-0.021914566
843.2000122,-0.006265074,-0.01289064,-0.013564627,-0.01631579,-0.01730315,-0.01798106,-0.018868886,-0.02149847,-0.017042533,-0.023106324,-0.022811834,-0.023045056,-0.024690444,-0.024187105,-0.025075493,-0.029397782,-0.027875684,-0.025529966,-0.02484028
842.4000244,-0.004551463,-0.010212502,-0.008731553,-0.016250663,-0.016067002,-0.019816982,-0.020176871,-0.021503989,-0.019788094,-0.024023572,-0.022211237,-0.022518914,-0.026005615,-0.023213325,-0.022918958,-0.025237262,-0.022843616,-0.023134058,-0.026941
841.5999756,-0.005496488,-0.011845931,-0.011654853,-0.013794892,-0.014978601,-0.020791784,-0.022161109,-0.019626755,-0.021296607,-0.023779014,-0.023994865,-0.022465233,-0.024682226,-0.022709548,-0.021553108,-0.027280111,-0.023674358,-0.024256045,-0.024179172
840.7999878,-0.008405823,-0.009527363,-0.011957758,-0.015488472,-0.018383564,-0.02113642,-0.019353665,-0.019802835,-0.023957534,-0.024581261,-0.025244834,-0.023009656,-0.024150623,-0.023690194,-0.022700213,-0.025165595,-0.025985816,-0.024822287,-0.025561109
840,-0.007651651,-0.011586403,-0.012793883,-0.016409671,-0.01686025,-0.020977505,-0.021775188,-0.018960532,-0.022319149,-0.025253968,-0.022827456,-0.026997926,-0.024173785,-0.023354841,-0.027123671,-0.025803007,-0.025143512,-0.023682447,-0.026842942
839.2000122,-0.007749357,-0.012141756,-0.011460665,-0.016685167,-0.016243482,-0.017827744,-0.019706566,-0.020539276,-0.021717081,-0.023170283,-0.022207942,-0.026631035,-0.026105568,-0.026492191,-0.023367155,-0.024444988,-0.025953729,-0.02294145,-0.028378697
838.4000244,-0.006310182,-0.006322887,-0.009011201,-0.015363959,-0.01400368,-0.020325456,-0.017973011,-0.016214954,-0.020957772,-0.021048535,-0.021735746,-0.024298932,-0.023180638,-0.022758778,-0.021653105,-0.023663033,-0.023036316,-0.021278564,-0.023013584
837.5999756,-0.008682484,-0.007489506,-0.008101649,-0.014244785,-0.014132543,-0.016334986,-0.017538553,-0.020964088,-0.020550437,-0.021819454,-0.022538085,-0.021941982,-0.020049889,-0.020815374,-0.023104949,-0.02460582,-0.023964442,-0.022211287,-0.023587329
836.7999878,-0.009548837,-0.00827723,-0.01255851,-0.015255405,-0.016101426,-0.020594185,-0.022488831,-0.024062367,-0.02171329,-0.024828495,-0.026038041,-0.026387261,-0.026040088,-0.022355441,-0.026293563,-0.024242044,-0.027157912,-0.027031008,-0.025889056
836,-0.005519492,-0.007100506,-0.007571477,-0.010765675,-0.013277152,-0.015896589,-0.018889209,-0.015997596,-0.018591547,-0.019982897,-0.019691527,-0.018945763,-0.021588085,-0.017825658,-0.020461941,-0.021970382,-0.022916894,-0.01962636,-0.020908535
835.2000122,-0.009820772,-0.008317559,-0.009245311,-0.016364951,-0.018392596,-0.018251887,-0.020787442,-0.019199941,-0.020497499,-0.019777607,-0.021853179,-0.022609549,-0.023639891,-0.02366725,-0.021796804,-0.024664423,-0.026411815,-0.025790714,-0.022384847
834.4000244,-0.007289271,-0.010797693,-0.008996951,-0.012893655,-0.015627433,-0.016515544,-0.020077027,-0.018492034,-0.019849774,-0.020475572,-0.023434117,-0.022171589,-0.021882372,-0.022980882,-0.021995828,-0.023966059,-0.025036739,-0.021484723,-0.027661657
