wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
602.4000244,-0.005419595,-0.000848231,-0.009647333
601.5999756,-0.005566058,-0.001235435,-0.009016778
600.7999878,-0.004611452,-0.001699707,-0.009515207
600,-0.004555305,-0.000998774,-0.00898833
599.2000122,-0.004094693,-0.00073976,-0.009317931
598.4000244,-0.003848706,-0.000885071,-0.008918393
597.5999756,-0.004035659,-0.000500088,-0.008363674
596.7999878,-0.004146284,-0.000586129,-0.009063732
596,-0.003655513,-4.61E-05,-0.008232122
595.2000122,-0.003814529,0.000631092,-0.008376522
594.4000244,-0.003403165,-0.000980902,-0.009634066
593.5999756,-0.00275555,-0.000459905,-0.008515493
592.7999878,-0.003039123,0.000153401,-0.008527931
592,-0.002661911,0.000275126,-0.008737541
591.2000122,-0.001948202,0.000237051,-0.008659444
590.4000244,-0.00175411,0.001958749,-0.008731299
589.5999756,-0.001846141,0.001847731,-0.007574631
588.7999878,-0.003108676,0.002393373,-0.006617551
588,-0.002743615,0.002704036,-0.0062763
587.2000122,-0.00092914,0.003034289,-0.004503968
586.4000244,-0.002525996,0.002243575,-0.005836666
585.5999756,-0.001251645,0.002815039,-0.004308247
584.7999878,-0.001448232,0.003529384,-0.004878509
584,-0.001886659,0.004220857,-0.004402915
583.2000122,-0.000519893,0.004733532,-0.003219178
582.4000244,-0.00072901,0.004480781,-0.003341468
581.5999756,-0.002345705,0.003349038,-0.002903377
580.7999878,-0.001697748,0.004160638,-0.003057116
580,-0.001261298,0.004175065,-0.003382412
579.2000122,-0.00085748,0.003850707,-0.004845948
578.4000244,-0.001050785,0.004604613,-0.004948485
577.5999756,-0.001872689,0.004230084,-0.004879942
576.7999878,-0.002550496,0.002896467,-0.003934138
576,-0.001591913,0.003381986,-0.004477222
575.2000122,-0.00247658,0.001591768,-0.006416098
574.4000244,-0.002356312,0.002313731,-0.006480012
573.5999756,-0.00295259,0.001601615,-0.006735982
572.7999878,-0.003945528,0.001312484,-0.007196095
572,-0.004580306,0.00041655,-0.009310634
571.2000122,-0.003527663,0.000854897,-0.008316035
570.4000244,-0.004698219,0.000772321,-0.00919787
569.5999756,-0.004152745,0.00029033,-0.00938603
568.7999878,-0.003750375,8.46E-05,-0.009314131
568,-0.004938555,-0.000497295,-0.010485841
567.2000122,-0.003874158,0.000109511,-0.009843649
566.4000244,-0.004717475,-0.000157617,-0.010224689
565.5999756,-0.004991683,4.24E-05,-0.009665459
564.7999878,-0.004907842,0.001135729,-0.009528781
564,-0.004823728,0.000156949,-0.009955638
563.2000122,-0.004509041,0.000818975,-0.009042385
562.4000244,-0.005355014,0.000586454,-0.00990109
561.5999756,-0.005131127,0.000287326,-0.009524982
560.7999878,-0.003861279,0.000910742,-0.008573921
560,-0.004507811,0.001369116,-0.008491937
559.2000122,-0.004451088,0.001300255,-0.009070627
558.4000244,-0.004547569,0.001177517,-0.009900786
557.5999756,-0.0029367,0.002335384,-0.008528438
556.7999878,-0.003503218,0.003486065,-0.008064399
556,-0.005476755,0.001856752,-0.009550408
555.2000122,-0.004750813,0.001632534,-0.008364131
554.4000244,-0.00483832,0.000989115,-0.008832466
553.5999756,-0.003903662,0.002443664,-0.007984403
552.7999878,-0.002042768,0.003757089,-0.006463384
552,-0.003919156,0.003608492,-0.007214325
551.2000122,-0.004461388,0.00255322,-0.007574224
550.4000244,-0.003189217,0.003336386,-0.007347661
549.5999756,-0.002880388,0.004586143,-0.007105649
548.7999878,-0.003838495,0.002736883,-0.007714723
548,-0.00243344,0.004804327,-0.006481644
547.2000122,-0.003489865,0.003708395,-0.00757804
546.4000244,-0.004090949,0.00366545,-0.008215816
545.5999756,-0.002074664,0.0059341,-0.00564042
544.7999878,-0.002532584,0.005242542,-0.005466888
544,-0.003189731,0.005584145,-0.005584918
543.2000122,-0.003697916,0.004679312,-0.005997336
542.4000244,-0.005102679,0.003571951,-0.009043146
541.5999756,-0.003619318,0.004482716,-0.007532248
540.7999878,-0.002954955,0.003207464,-0.007896612
540,-0.003039483,0.003518475,-0.00717206
539.2000122,-0.002610144,0.003287948,-0.007174657
538.4000244,-0.00148497,0.004934169,-0.006931122
537.5999756,-0.001955779,0.005132095,-0.005265565
536.7999878,-0.002406874,0.004225353,-0.005958834
536,-0.002463711,0.00479425,-0.00544562
535.2000122,-0.002475602,0.006490999,-0.005429872
534.4000244,-0.002274741,0.006214325,-0.005488257
