wavelength,DOMBlank1,DOM11188,DOM11392,DOM11339,DOM11372,DOM11381,DOM11382,DOM11385,DOMBlank2,DOM11389,DOM11393,DOM11394,DOMBlank3
822.4000244,0.000394966,0.0005772,0.000138926,0.000696917,0.000950407,0.001780224,0.001645864,0.000769054,-0.00022013,0.000625648,0.000676331,0.000750954,0.001018512
821.5999756,-0.000482143,0.000371027,0.000724816,-0.000392823,-0.000129048,-0.000127858,0.000367607,0.000806086,0.000258756,-0.000479506,0.000317944,0.00150778,0.001309369
820.7999878,-0.000396496,-0.000674272,0.000428313,-0.00064248,-3.35E-05,0.000629822,0.001691079,0.000387582,0.000114975,-0.000660987,0.000220164,-0.000468852,-0.000672876
820,-0.000433684,0.00030007,0.000471121,5.20E-05,0.001226603,0.00187794,0.001187276,0.00051751,0.000463606,5.76E-05,0.000814178,0.00111315,-3.70E-05
819.2000122,-0.000703476,-0.000348596,-0.000198655,0.000344524,0.000980502,0.001292596,0.000695776,0.001127865,0.000784069,0.001053308,0.000966959,0.001734973,0.000351726
818.4000244,0.000727046,-7.73E-05,0.00172268,0.001386125,0.001387761,0.000942028,0.001785604,0.002110009,0.000315561,0.000614009,0.001355587,0.001641161,0.000387116
817.5999756,-0.000642429,0.000167644,0.000518158,0.000794105,0.000481046,0.001597458,0.003409066,0.0001244,0.000661657,-5.26E-05,0.00034442,0.00150326,0.000730624
816.7999878,-0.000144057,0.000538036,-0.000268096,0.000253938,0.000279995,0.000839983,-0.000595073,-9.62E-05,0.000373592,0.000259455,0.000945063,0.000921949,-0.000155547
816,2.67E-06,0.00048908,0.001588858,0.001569217,0.000851784,0.000649006,0.001731543,0.002069718,0.000692976,0.000928564,0.000621164,0.000643017,0.000942832
815.2000122,0.000537829,0.000167204,0.000708714,0.001009301,0.001504507,0.00113617,0.001504091,0.001133004,-0.000102652,0.001286053,0.000617638,0.000797476,-0.000203157
814.4000244,0.000897306,0.000531401,0.000358487,0.000272535,0.001085356,0.001319988,0.001789295,0.001176868,0.001228316,0.000760004,-0.000422047,0.000734981,0.000669902
813.5999756,0.00030108,0.000478999,0.000621293,0.000835833,0.000935257,0.001751919,0.002046726,0.000600633,-0.000181009,0.000470732,0.000423727,0.000884829,0.000811558
812.7999878,-0.000383512,0.000504215,0.000918136,0.000646465,0.0019808,0.001310355,0.001804397,0.001759768,0.001399214,-0.000180439,0.001001906,0.000824422,0.000975935
812,0.000165598,-0.000944122,-0.000194878,0.000100786,0.000841669,-0.000380616,0.000909835,0.001043966,4.25E-05,-0.000589593,0.001101186,0.000934089,0.000852692
811.2000122,-0.00019229,0.000713174,0.001056681,-0.000155133,0.001095036,0.000656861,0.001787449,0.000293646,-0.000530804,0.001551967,-0.000322006,0.001170872,0.001402226
810.4000244,-0.00087019,-0.000546885,0.000153997,-0.000469318,0.000513,0.000110159,0.000722146,-3.78E-05,-0.000316418,0.000124995,-0.000879801,-0.000531269,-0.000369908
809.5999756,0.00070397,-0.000333697,0.000430334,0.000376053,0.000667802,0.001278628,0.000929368,0.001372362,0.001103444,0.002521558,0.000519194,0.001441936,0.000561519
808.7999878,0.000183544,0.000153376,-0.000299035,0.001422899,0.000410875,0.001401317,0.00083866,-5.91E-05,0.000478274,0.000760807,0.001755584,0.000891962,-0.00056736
808,0.000398853,9.47E-06,0.000947112,-0.00073976,-0.000349527,0.0019153,0.001047625,0.00033556,0.000606466,0.001166174,3.07E-05,0.001323493,0.000375587
