Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8127	DOM12442	1211-1-11 Vierdalsvatnet (Skålnesv.)	1211-1-11	Vierdalsvatnet (Skålnesv.)
930-8127	DOM12443	1211-1-26 HOH 914	1211-1-26	HOH 914
930-8128	DOM12444	1211-1-11 Vierdalsvatnet (Skålnesv.)	1211-1-11	Vierdalsvatnet (Skålnesv.)
930-8128	DOM12445	1211-1-26 HOH 914	1211-1-26	HOH 914
930-8129	DOM12447	1246-1-15 Kvernavatnet	1246-1-15	Kvernavatnet
930-8130	DOM12446	1246-1-15 Kvernavatnet	1246-1-15	Kvernavatnet
930-8131	DOM12448	1241-1-18 Svinasteinstjørna	1241-1-18	Svinasteinstjørna
930-8131	DOM12449	1241-2-41 Skjelbreidvatnet	1241-2-41	Skjelbreidvatnet
930-8132	DOM12450	1241-1-18 Svinasteinstjørna	1241-1-18	Svinasteinstjørna
930-8132	DOM12451	1241-2-41 Skjelbreidvatnet	1241-2-41	Skjelbreidvatnet
930-8133	DOM12452	1234-3-2 Granvinsvatnet	1234-3-2	Granvinsvatnet
930-8134	DOM12453	1234-3-2 Granvinsvatnet	1234-3-2	Granvinsvatnet
930-8135	DOM12454	1238-2-23 Øyjordsvatnet	1238-2-23	Øyjordsvatnet
930-8135	DOM12455	1238-3-15 Myklavatnet	1238-3-15	Myklavatnet
930-8135	DOM12456	1238-2-42 Djupebottvatnet	1238-2-42	Djupebottvatnet
930-8136	DOM12457	1238-2-23 Øyjordsvatnet	1238-2-23	Øyjordsvatnet
930-8136	DOM12458	1238-3-15 Myklavatnet	1238-3-15	Myklavatnet
930-8136	DOM12459	1238-2-42 Djupebottvatnet	1238-2-42	Djupebottvatnet
930-8137	DOM12460	1224-2-14 HOH 1051	1224-2-14	HOH 1051
930-8137	DOM12461	1224-2-30 Insta Bukkaspelvatnet	1224-2-30	Insta Bukkaspelvatnet
930-8137	DOM12462	1224-2-26 Sandvatna	1224-2-26	Sandvatna
930-8137	DOM12463	1224-2-25 Mannsvatnet	1224-2-25	Mannsvatnet
930-8137	DOM12464	1224-3-12 Myrdalsvatnet	1224-3-12	Myrdalsvatnet
930-8137	DOM12465	1224-2-39 Tveitedalsvatnet	1224-2-39	Tveitedalsvatnet
930-8137	DOM12466	1224-1-31 Hammarsvatnet	1224-1-31	Hammarsvatnet
930-8138	DOM12467	1224-2-14 HOH 1051	1224-2-14	HOH 1051
930-8138	DOM12468	1224-2-30 Insta Bukkaspelvatnet	1224-2-30	Insta Bukkaspelvatnet
930-8138	DOM12469	1224-2-26 Sandvatna	1224-2-26	Sandvatna
930-8138	DOM12470	1224-2-25 Mannsvatnet	1224-2-25	Mannsvatnet
930-8138	DOM12471	1224-3-12 Myrdalsvatnet	1224-3-12	Myrdalsvatnet
930-8138	DOM12472	1224-2-39 Tveitedalsvatnet	1224-2-39	Tveitedalsvatnet
930-8138	DOM12473	1224-1-31 Hammarsvatnet	1224-1-31	Hammarsvatnet
930-8139	DOM12474	1263-2-36 Sandvikavatnet	1263-2-36	Sandvikavatnet
930-8139	DOM12475	1263-3-10 Husdalsvatnet	1263-3-10	Husdalsvatnet
930-8139	DOM12476	1263-2-33 Hundvensvatnet	1263-2-33	Hundvensvatnet
930-8140	DOM12477	1263-2-36 Sandvikavatnet	1263-2-36	Sandvikavatnet
930-8140	DOM12478	1263-3-10 Husdalsvatnet	1263-3-10	Husdalsvatnet
930-8140	DOM12479	1263-2-33 Hundvensvatnet	1263-2-33	Hundvensvatnet
930-8141	DOM12480	1266-2-35 Klefjellvatni	1266-2-35	Klefjellvatni
930-8141	DOM12481	1266-1-25 Stemmevatnet	1266-1-25	Stemmevatnet
930-8141	DOM12482	1266-2-6 Nordrevotni	1266-2-6	Nordrevotni
930-8141	DOM12483	1266-1-24 HOH 800	1266-1-24	HOH 800
