wavelength (nm),DOMBlank1,DOMSTD17,DOM12005,DOM12055,DOM12100,DOM12209,DOM12305,DOM12329,DOM12344,DOMBlank2,DOM12439,DOM12440,DOM12445,DOM12505,DOM12509,DOM12541,DOM13042,DOM11951,DOM12452,DOMBlank4,DOM12472,DOM12481,DOM12482,DOM12484,DOMBlank5
852,-0.00808056,-0.007742797,-0.009633509,-0.014231758,-0.014096459,-0.015735993,-0.017111821,-0.017887019,-0.017205233,-0.019600628,-0.020758668,-0.021437271,-0.021998486,-0.022554453,-0.020865904,-0.021318739,-0.023930978,-0.023161791,-0.026007323,-0.022715149,-0.024094008,-0.023418076,-0.024285274,-0.024997249,-0.022970129
851.2000122,-0.00473417,-0.007422686,-0.009024841,-0.013021743,-0.013766655,-0.016099131,-0.01679969,-0.01766145,-0.018679732,-0.019267252,-0.017368864,-0.023005974,-0.022820873,-0.023871982,-0.020689318,-0.024155568,-0.02217577,-0.023234723,-0.022380274,-0.024078384,-0.021968413,-0.021640889,-0.020564707,-0.025639106,-0.025349503
850.4000244,-0.004755985,-0.0047545,-0.008947252,-0.012166626,-0.013591322,-0.015374103,-0.016680684,-0.017489821,-0.017301608,-0.019829841,-0.018979613,-0.021041334,-0.021008583,-0.023113392,-0.01951758,-0.022871515,-0.023961747,-0.021839738,-0.021001924,-0.021596855,-0.023597872,-0.022312805,-0.02252732,-0.023725636,-0.021449639
849.5999756,-0.005795135,-0.009523817,-0.011643663,-0.01492843,-0.015674327,-0.019144759,-0.019765785,-0.018628897,-0.022927895,-0.022770619,-0.021718264,-0.023463596,-0.027217483,-0.022234062,-0.023516027,-0.024056882,-0.025959777,-0.024183579,-0.02483275,-0.025934026,-0.026539629,-0.025422996,-0.023273833,-0.026861971,-0.021997008
848.7999878,-0.004361453,-0.006580123,-0.010828902,-0.014565365,-0.014072151,-0.016056323,-0.017533829,-0.018587183,-0.016383497,-0.018255213,-0.020106686,-0.020188831,-0.019037493,-0.021831615,-0.018976491,-0.021626852,-0.022486323,-0.021281473,-0.021919586,-0.022206908,-0.023966597,-0.021329287,-0.019502385,-0.024129957,-0.024561936
848,-0.001149265,-0.00847173,-0.006498424,-0.010350483,-0.014516749,-0.015125724,-0.015143424,-0.016557209,-0.016364502,-0.016301379,-0.019898934,-0.018953297,-0.019674605,-0.021719249,-0.019075794,-0.020999456,-0.021293452,-0.020159572,-0.020449199,-0.020968033,-0.022244882,-0.022772828,-0.02128448,-0.021409919,-0.021722548
847.2000122,-0.002850507,-0.007896307,-0.011524193,-0.016001787,-0.016397258,-0.017912606,-0.018550575,-0.019920396,-0.018975103,-0.021414552,-0.021008335,-0.020840641,-0.023478262,-0.023193842,-0.02055024,-0.023020163,-0.02152483,-0.022899019,-0.022481358,-0.024561349,-0.023077212,-0.02179838,-0.022897545,-0.024173493,-0.024055999
846.4000244,-0.003600527,-0.004583175,-0.009340227,-0.015477181,-0.013852614,-0.016173257,-0.01909492,-0.018375874,-0.017272355,-0.018919148,-0.019130342,-0.021298135,-0.021853179,-0.022595689,-0.021463338,-0.022827258,-0.022802893,-0.021211714,-0.022730725,-0.022363555,-0.024865117,-0.024667161,-0.024125794,-0.024273768,-0.023913143
845.5999756,-0.003713521,-0.007507977,-0.009789441,-0.012884509,-0.015660144,-0.016873846,-0.018110635,-0.020038024,-0.019063557,-0.020179244,-0.019759849,-0.020383997,-0.024445234,-0.022051387,-0.021758545,-0.022715051,-0.022879716,-0.023416704,-0.024754658,-0.024422722,-0.023010932,-0.023017364,-0.023877373,-0.022914244,-0.024374366
844.7999878,-0.004764742,-0.008477366,-0.011192429,-0.013282575,-0.017133471,-0.017103011,-0.018556429,-0.017642014,-0.020034168,-0.022038445,-0.022457859,-0.021950005,-0.02241238,-0.023594931,-0.022865964,-0.024574999,-0.024294527,-0.023693085,-0.023906481,-0.024765907,-0.025512928,-0.02279189,-0.025752755,-0.026071928,-0.023868406
844,-0.00415854,-0.005876916,-0.009578312,-0.013130303,-0.014615977,-0.014934083,-0.01555656,-0.015941456,-0.016975375,-0.019402931,-0.019712752,-0.021704178,-0.022530811,-0.021679159,-0.021379365,-0.021186667,-0.022459039,-0.02247777,-0.022341082,-0.022672156,-0.023768378,-0.023291156,-0.024272887,-0.02438621,-0.024284001
843.2000122,-0.002881674,-0.007678204,-0.0113074,-0.015315683,-0.015162923,-0.016135447,-0.017252155,-0.018578354,-0.01848102,-0.020342352,-0.02013397,-0.02258301,-0.022267753,-0.020671893,-0.021817582,-0.024887802,-0.022211434,-0.024354981,-0.024461921,-0.024484236,-0.025188265,-0.0214896,-0.024832457,-0.024010051,-0.022483619
842.4000244,-0.002674106,-0.007227665,-0.009650725,-0.011313554,-0.014184959,-0.015930576,-0.01600603,-0.017221553,-0.019063309,-0.019978991,-0.017841954,-0.022023436,-0.020086221,-0.021105697,-0.018823575,-0.022012413,-0.020953776,-0.019882811,-0.023222944,-0.024680808,-0.022571804,-0.023164982,-0.023056101,-0.022985399,-0.022805301
