wavelength (nm),DOMBlank1,DOMSTD29,DOM13163,DOM12719,DOM13123,DOM13010,DOM11895,DOM12258,DOM12660,DOMBlank2,DOM12940,DOM12994,DOM12998,DOM12999,DOM13000,DOM13023,DOM13071,DOM13439,DOM13440,DOM13449,DOM13459,DOM11931,DOM12157,DOMBlank3
848.7999878,-0.004072383,-0.004732787,-0.012564696,-0.011199594,-0.010976025,-0.012809818,-0.013210263,-0.014789145,-0.017242849,-0.013399103,-0.014774334,-0.017037604,-0.015617295,-0.014587143,-0.018538767,-0.014595002,-0.014624437,-0.017894521,-0.015700642,-0.015775137,-0.014108889,-0.016891375,-0.017406818,-0.01777174
848,-0.00463773,-0.011864168,-0.009995508,-0.012876316,-0.017031481,-0.010304123,-0.017860537,-0.017737797,-0.017590411,-0.017189059,-0.016385991,-0.018622648,-0.015223613,-0.019718885,-0.020764837,-0.01931316,-0.018339941,-0.018091964,-0.019663125,-0.019804072,-0.019170767,-0.023881979,-0.018826699,-0.021456735
847.2000122,-0.007281838,-0.009351222,-0.013424653,-0.012632238,-0.013611091,-0.014143367,-0.014850939,-0.019212324,-0.015829353,-0.016882412,-0.019133661,-0.018106265,-0.019395158,-0.0166898,-0.018367337,-0.016258094,-0.019703796,-0.019911742,-0.016417149,-0.020346206,-0.020974398,-0.021306761,-0.019271165,-0.021139033
846.4000244,-0.007264121,-0.008871932,-0.012918632,-0.015340621,-0.013247675,-0.015081523,-0.017636595,-0.014402225,-0.021029448,-0.017702458,-0.017143374,-0.015401336,-0.018431254,-0.017546309,-0.018360836,-0.019731205,-0.021223299,-0.022291755,-0.016131707,-0.021291135,-0.01863336,-0.019927368,-0.019836618,-0.020225352
845.5999756,-0.011071371,-0.007174199,-0.012083151,-0.014796201,-0.018423164,-0.015928481,-0.019568015,-0.016661551,-0.021564685,-0.0208134,-0.021730034,-0.021613946,-0.017727757,-0.019488722,-0.019888844,-0.023235705,-0.01958593,-0.022052962,-0.022850541,-0.021262493,-0.021692753,-0.021834027,-0.023313578,-0.01880553
844.7999878,-0.006077548,-0.008709277,-0.010949068,-0.010702995,-0.018322669,-0.013557702,-0.015470986,-0.015279547,-0.014909722,-0.019548563,-0.01858262,-0.018609354,-0.018883459,-0.015823662,-0.017682228,-0.016762681,-0.01878426,-0.018640008,-0.016425423,-0.017649619,-0.018321032,-0.019710524,-0.021971416,-0.019272402
844,-0.006679702,-0.005400063,-0.012948534,-0.011728382,-0.01348649,-0.013289955,-0.017566197,-0.016610729,-0.015720315,-0.014178746,-0.018848462,-0.014879106,-0.016158193,-0.015919046,-0.018665498,-0.014534624,-0.02034759,-0.017045619,-0.017280066,-0.017341357,-0.015560555,-0.01735031,-0.018964151,-0.01838173
843.2000122,-0.004474096,-0.007568576,-0.010989301,-0.009709002,-0.015202768,-0.014538931,-0.016661203,-0.018116346,-0.018037185,-0.018272636,-0.015094824,-0.01427745,-0.017720649,-0.01744014,-0.019877026,-0.017926764,-0.017858053,-0.016932804,-0.015720265,-0.017136905,-0.018744593,-0.019737884,-0.020234345,-0.017406568
842.4000244,-0.006850101,-0.008757075,-0.013164358,-0.012639379,-0.01523626,-0.012863399,-0.017389508,-0.015214316,-0.015893692,-0.015590524,-0.018828286,-0.015581634,-0.019170122,-0.018464349,-0.020061802,-0.020805998,-0.016839633,-0.018358205,-0.018151699,-0.022745317,-0.020769773,-0.021587741,-0.019879151,-0.017999586
841.5999756,-0.005797639,-0.0098313,-0.012883152,-0.01290049,-0.016928274,-0.013873375,-0.02030021,-0.015972497,-0.019868173,-0.017466797,-0.020893881,-0.017905252,-0.01667555,-0.021068165,-0.018841423,-0.018815048,-0.02047646,-0.022574851,-0.017522143,-0.020888207,-0.019737834,-0.022876967,-0.023742205,-0.019195335
840.7999878,-0.004679422,-0.011736142,-0.014467779,-0.013690711,-0.015885059,-0.013347696,-0.01602534,-0.019139953,-0.01772229,-0.018712908,-0.020218186,-0.019759353,-0.016860649,-0.017380804,-0.0184642,-0.02122261,-0.018071601,-0.024234895,-0.018552013,-0.019712653,-0.018450703,-0.024919285,-0.022466905,-0.017338222
840,-0.00608398,-0.008217391,-0.014156598,-0.012537384,-0.014359702,-0.015846225,-0.016167771,-0.016128413,-0.016444167,-0.018265439,-0.019887559,-0.017862823,-0.016161237,-0.017771838,-0.017808663,-0.01652292,-0.019470159,-0.022301493,-0.018503297,-0.022958245,-0.016281582,-0.020860871,-0.019009793,-0.018203981
